Shot #,Player,TEAM,Opponent,Date,Art x,Art y,Outcome,Assist,Type,Play,State,Angle,Distance,x,y
1,Keane,LA,DC,42435,5.3,30.2,0,cross,header,open,-1,29.67339405,7.286288493,5.3,19.8
2,Zardes,LA,DC,42435,5,25.3,0,cross,header,open,-1,54.81616338,5.0009999,5,24.7
3,Rolfe,LA,DC,42435,8.8,32.6,0,pass,right,open,-1,19.60972778,11.49782588,8.8,17.4
4,Steres,LA,DC,42435,4.6,26.4,1,cross,header,set-piece,-1,55.62996089,4.75394573,4.6,23.6
5,Magee,LA,DC,42435,11,5.8,1,cross,right,open,0,6.755544778,22.30156945,11,44.2
7,Magee,LA,DC,42435,6.8,28.4,1,cross,header,set-piece,2,34.71382882,7.515317691,6.8,21.6
8,Gerrard,LA,DC,42435,18.5,33.5,0,pass,right,open,3,13.27529028,20.27658748,18.5,16.5
9,Neagle,DC,LA,42435,17.6,18.9,1,pass,left,open,0,15.05671021,18.69358179,17.6,31.1
10,Nyarko,DC,LA,42435,7.5,32.2,0,other,right,open,1,21.05077139,10.25914226,7.5,17.8
11,DeLeon,DC,LA,42435,12.9,11.9,0,pass,left,open,1,11.44757134,18.52835665,12.9,38.1
12,DeLeon,DC,LA,42435,15.5,24.5,0,pass,right,open,0,19.02560604,15.5157984,15.5,25.5
13,Boswell,DC,LA,42435,19.7,6.4,0,cross,header,set-piece,0,8.017462991,27.23104846,19.7,43.6
14,DeLeon,DC,LA,42435,26.4,23.8,0,pass,right,open,-1,11.2264305,26.43709515,26.4,26.2
15,Kemp,DC,LA,42435,30.7,30.8,0,other,right,open,-1,9.351774183,31.20656982,30.7,19.2
16,Acosta,DC,LA,42435,15.4,5.6,0,pass,left,open,-1,7.518426879,24.92629134,15.4,44.4
17,Salinas,SJ,CO,42435,17.4,33.1,0,pass,left,open,0,14.04780015,19.10942176,17.4,16.9
18,Wondolowski,SJ,CO,42435,9.3,23.6,1,cross,header,open,0,30.62528342,9.436630755,9.3,26.4
19,Thompson,SJ,CO,42435,8.4,30.9,0,pass,left,open,1,23.891288,10.15135459,8.4,19.1
20,Cronin,CO,SJ,42435,6.5,14,0,pass,right,open,0,12.18798955,12.94951737,6.5,36
21,Doyle,CO,SJ,42435,18.2,19.5,0,pass,right,open,-1,14.93825305,19.07170679,18.2,30.5
22,Badji,CO,SJ,42435,6.8,15.2,0,pass,right,open,-1,14.62362767,12.09297317,6.8,34.8
23,Miller,CO,SJ,42435,18.2,38.6,0,pass,left,open,-1,10.52401477,22.60088494,18.2,11.4
24,Badji,CO,SJ,42435,7.2,34.4,0,other,left,open,-1,15.67282051,11.68246549,7.2,15.6
25,K. Kamara,COL,POR,42435,14.7,32.7,0,pass,header,open,0,15.88452751,16.50272705,14.7,17.3
26,Jimenez,COL,POR,42435,15.8,21.8,0,pass,right,open,-1,17.98286678,16.16168308,15.8,28.2
27,K. Kamara,COL,POR,42435,1.1,27.9,0,pass,right,open,-1,63.43494882,2.915475947,1.1,22.1
28,Higuain,COL,POR,42435,7.6,18.3,1,other,right,open,-1,22.3984647,10.26498904,7.6,31.7
29,Afful,COL,POR,42435,3.2,15.9,0,pass,right,open,0,10.9148307,9.835141077,3.2,34.1
30,Valeri,POR,COL,42435,14.1,44.5,1,self,right,set-piece,0,7.300657887,23.90188277,14.1,5.5
31,Taylor,POR,COL,42435,5.6,23.2,0,cross,header,set-piece,1,46.28732894,5.946427499,5.6,26.8
32,Asprilla,POR,COL,42435,8.3,32.1,0,pass,right,open,1,20.98222271,10.79351657,8.3,17.9
33,Valeri,POR,COL,42435,8,19,0,other,right,open,1,24.04453864,10.12126474,8,31
34,Chara,POR,COL,42435,19.8,19.4,0,pass,right,open,1,13.88082332,20.63201396,19.8,30.6
35,Nagbe,POR,COL,42435,8.1,20.1,0,pass,right,open,1,26.94547368,9.57183368,8.1,29.9
36,Melano,POR,COL,42435,8.7,18.1,0,pass,right,open,0,21.21585846,11.22942563,8.7,31.9
37,Adi,POR,COL,42435,0.1,23.7,1,other,right,open,0,174.1324939,1.503329638,0.1,26.3
38,Asprilla,POR,COL,42435,5,35.8,0,pass,left,open,0,10.91073362,11.72006826,5,14.2
39,Hallisey,SKC,SEA,42435,8.6,32,0,pass,left,open,0,21.04940497,10.96357606,8.6,18
40,Quintilla,SKC,SEA,42435,20,18.3,0,other,left,open,0,13.35330143,21.1567956,20,31.7
41,Zusi,SKC,SEA,42435,16.8,34.2,0,self,right,set-piece,0,13.63573755,19.05885621,16.8,15.8
42,Coelho,SKC,SEA,42435,22.7,16.3,1,pass,right,open,0,11.42267105,24.38237068,22.7,33.7
43,Dempsey,SEA,SKC,42435,21.1,30.3,0,self,right,set-piece,0,13.23422222,21.70760235,21.1,19.7
44,Marshall,SEA,SKC,42435,6.8,24.9,0,cross,header,set-piece,0,41.84179205,6.80661443,6.8,25.1
45,Ivanschitz,SEA,SKC,42435,16.3,31.7,0,pass,left,open,-1,15.58809101,17.54821928,16.3,18.3
46,Shipp,MTL,VAN,42435,18.9,18.4,0,pass,left,open,0,14.00578738,20.08606482,18.9,31.6
47,Ontivero,MTL,VAN,42435,18.5,20.8,0,pass,left,open,0,15.23877998,19.01604586,18.5,29.2
48,Piatti,MTL,VAN,42435,5.4,29.6,1,self,right,open,0,32.80696552,6.965629907,5.4,20.4
49,Oduro,MTL,VAN,42435,13.2,32.7,1,pass,right,open,1,16.84030494,15.18189711,13.2,17.3
50,Jackson-Hamel,MTL,VAN,42435,8.1,32.3,0,pass,left,open,1,20.58627514,10.77125805,8.1,17.7
51,Piatti,MTL,VAN,42435,4.1,32.9,1,pass,left,open,1,16.39553353,8.723531395,4.1,17.1
52,Bolanos,VAN,MTL,42435,20,15.8,0,self,left,open,0,12.27771491,22.09886875,20,34.2
53,Rivero,VAN,MTL,42435,15.6,34.9,0,pass,right,open,0,13.62738692,18.36981219,15.6,15.1
54,Rivero,VAN,MTL,42435,9.3,31.3,0,pass,left,open,0,22.04584533,11.12205017,9.3,18.7
55,Harvey,VAN,MTL,42435,2,27.7,1,cross,header,set-piece,-2,66.46317001,3.201562119,2,22.3
56,Rivero,VAN,MTL,42435,6.7,25.5,0,cross,left,open,-1,42.23205072,6.706713055,6.7,24.5
57,Rivero,VAN,MTL,42435,7,25.8,0,cross,header,open,-1,40.32728113,7.025667228,7,24.2
58,Waston,VAN,MTL,42435,5.6,27.6,0,cross,header,set-piece,-1,42.8789036,6.092618485,5.6,22.4
59,Manneh,VAN,MTL,42435,8.7,33.2,0,self,right,open,-2,18.37812658,11.81905242,8.7,16.8
60,Waston,VAN,MTL,42435,5.3,27.7,1,cross,header,set-piece,-2,43.91907581,5.86003413,5.3,22.3
61,Conceicao,PHI,DAL,42435,0.4,17.2,0,cross,header,set-piece,0,2.196107193,8.009993758,0.4,32.8
62,Le Toux,PHI,DAL,42435,5,24.6,0,other,right,open,-2,54.71325102,5.035871325,5,25.4
63,Urruti,DAL,PHI,42435,6.5,22.2,0,pass,right,open,0,37.95636835,7.158910532,6.5,27.8
64,Castillo,DAL,PHI,42435,9,19,0,pass,right,open,0,23.00259659,10.92886087,9,31
65,Castillo,DAL,PHI,42435,12.5,35.8,0,pass,right,open,0,13.72529751,16.38932579,12.5,14.2
66,Castillo,DAL,PHI,42435,13.3,19.2,1,pass,right,open,0,18.74732885,14.59075049,13.3,30.8
67,Castillo,DAL,PHI,42435,10.9,34.7,0,pass,right,open,1,15.37405479,14.45890729,10.9,15.3
68,Figueroa,DAL,PHI,42435,7.6,31.8,0,cross,header,set-piece,1,22.11766633,10.06578363,7.6,18.2
