home,away,pteam,starttime,endtime,goal,nskatersh,nskatersa
TOR,MTL,TOR,741,855,0,5,6
TOR,MTL,MTL,1065,1162,1,6,5
TOR,MTL,TOR,1699,1803,0,5,6
TOR,MTL,MTL,2223,2327,0,6,5
BOS,PHI,PHI,584,639,1,6,5
BOS,PHI,BOS,1442,1561.5,0,5,6
BOS,PHI,PHI,1852,1959,0,5,6
BOS,PHI,BOS,1852,1959,0,5,6
BOS,PHI,PHI,1852,1959,0,5,6
BOS,PHI,BOS,1852,1959,0,5,6
BOS,PHI,BOS,1959,2075,0,5,6
BOS,PHI,BOS,2831,2944,0,5,6
BOS,PHI,PHI,3239,3349.5,0,6,5
CGY,VAN,VAN,214,310,0,6,5
CGY,VAN,VAN,271,377,0,6,4
CGY,VAN,CGY,707,715,1,5,6
CGY,VAN,CGY,992,1072.5,0,5,6
CGY,VAN,VAN,1182,1292,0,6,5
CGY,VAN,VAN,1617,1645,0,6,5
CGY,VAN,CGY,1645,1764.5,0,5,6
CGY,VAN,VAN,2398,2398,0,6,5
CGY,VAN,VAN,2398,2398,0,6,5
CGY,VAN,CGY,2398,2398,0,6,5
CGY,VAN,CGY,2398,2398,0,6,5
L.A,S.J,S.J,198,316,0,6,5
L.A,S.J,L.A,681,800,0,5,6
L.A,S.J,S.J,681,800,0,5,6
L.A,S.J,L.A,723,828,0,5,6
L.A,S.J,L.A,1007,1120.5,0,5,6
L.A,S.J,L.A,1366,1400,1,5,6
L.A,S.J,L.A,1493,1612.5,0,5,6
L.A,S.J,S.J,1896,2002,0,6,5
L.A,S.J,S.J,3015,3134,0,6,5
L.A,S.J,S.J,3533,3600,0,6,4
L.A,S.J,S.J,3533,3600,0,6,4
BUF,CBJ,BUF,375,488,0,5,6
BUF,CBJ,BUF,586,586,0,NA,NA
BUF,CBJ,CBJ,586,586,0,NA,NA
BUF,CBJ,BUF,751,868.5,0,5,6
BUF,CBJ,BUF,1109,1222,0,5,6
BUF,CBJ,CBJ,2949,3047,0,6,5
BUF,CBJ,BUF,3047,3165,1,5,6
PHI,N.J,PHI,802,878,0,5,6
PHI,N.J,N.J,878,997,0,6,5
PHI,N.J,N.J,1649,1762,0,6,5
PHI,N.J,N.J,2130,2144,1,6,5
PHI,N.J,N.J,2395,2399,1,6,5
PHI,N.J,PHI,2688,2767,0,5,6
PHI,N.J,N.J,3020,3131,0,6,5
PHI,N.J,PHI,3186,3305.5,0,5,6
PIT,ANA,ANA,594,705,0,6,5
PIT,ANA,PIT,852,862,1,5,6
PIT,ANA,ANA,1465,1582,0,6,5
PIT,ANA,PIT,1873,1937,1,5,6
PIT,ANA,PIT,1873,1937,1,5,6
PIT,ANA,PIT,2020,2129.5,0,5,6
PIT,ANA,ANA,2184,2254,1,6,5
PIT,ANA,PIT,2419,2461,-1,5,6
PIT,ANA,PIT,2933,3042,0,5,6
PIT,ANA,ANA,3290,3407,-1,5,6
PIT,ANA,PIT,3290,3407,1,5,6
PIT,ANA,PIT,3376,3407,1,5,6
PIT,ANA,ANA,3498,3600,0,6,5
WSH,MTL,MTL,161,278,0,6,5
WSH,MTL,MTL,644,759,0,6,5
WSH,MTL,MTL,929,967,0,6,5
WSH,MTL,WSH,967,1079,0,5,6
WSH,MTL,WSH,1249,1352.5,0,5,6
WSH,MTL,MTL,1249,1352.5,0,5,6
WSH,MTL,WSH,1249,1352.5,0,5,6
WSH,MTL,MTL,1390,1460,0,6,5
WSH,MTL,WSH,1460,1579.5,0,5,6
WSH,MTL,MTL,2366,2434,0,6,4
WSH,MTL,MTL,2366,2434,0,6,4
WSH,MTL,WSH,2366,2434,0,6,4
WSH,MTL,WSH,2434,2539.5,0,5,6
WSH,MTL,MTL,2637,2637,0,NA,NA
WSH,MTL,WSH,2637,2637,0,NA,NA
WSH,MTL,WSH,3214,3331,0,5,6
DET,BOS,BOS,506,623.5,0,6,5
DET,BOS,BOS,1043,1161.5,0,6,5
DET,BOS,DET,1235,1354,0,4,5
DET,BOS,BOS,1235,1354,0,4,5
DET,BOS,DET,1276,1393,0,4,5
DET,BOS,DET,1608,1725.5,0,5,6
DET,BOS,BOS,2007,2086,1,6,5
DET,BOS,DET,2504,2575.5,0,5,6
DET,BOS,DET,3446,3494,0,5,6
DET,BOS,BOS,3494,3600,0,6,5
T.B,FLA,FLA,330,421.5,0,6,5
T.B,FLA,FLA,680,788,0,6,5
T.B,FLA,T.B,821,821,0,NA,NA
T.B,FLA,FLA,821,821,0,NA,NA
T.B,FLA,FLA,1534,1632,1,6,5
T.B,FLA,T.B,1862,1862,0,NA,NA
T.B,FLA,FLA,1862,1862,0,NA,NA
T.B,FLA,T.B,2011,2011,0,NA,NA
T.B,FLA,FLA,2011,2011,0,NA,NA
T.B,FLA,FLA,2226,2332.5,0,6,5
T.B,FLA,T.B,2559,2655,0,5,6
T.B,FLA,FLA,2723,2837,1,6,4
T.B,FLA,FLA,2778,2837,1,6,4
T.B,FLA,T.B,3222,3341,0,5,6
T.B,FLA,FLA,3600,3671,1,5,4
STL,NYR,NYR,1055,1165.5,0,6,5
STL,NYR,NYR,1330,1422,0,6,5
STL,NYR,NYR,1349,1463,0,6,4
STL,NYR,STL,1349,1463,0,6,4
STL,NYR,NYR,1422,1504,0,6,4
STL,NYR,STL,1688,1799,0,5,6
STL,NYR,NYR,1721,1820.5,0,5,6
STL,NYR,STL,1721,1820.5,0,5,6
STL,NYR,NYR,2138,2188,0,6,5
STL,NYR,STL,2188,2291.5,0,5,6
STL,NYR,STL,2707,2707,0,NA,NA
STL,NYR,NYR,2707,2707,0,NA,NA
STL,NYR,STL,2878,2966,0,5,6
STL,NYR,NYR,3266,3353.5,0,6,5
NSH,OTT,OTT,447,552,0,6,5
NSH,OTT,NSH,685,798,0,5,6
NSH,OTT,NSH,1555,1654,0,5,6
NSH,OTT,NSH,1840,1935,0,5,6
NSH,OTT,OTT,2070,2177,0,6,5
NSH,OTT,OTT,2381,2496,1,6,5
NSH,OTT,NSH,3112,3228,1,5,6
NSH,OTT,NSH,3493,3589,0,5,6
NSH,OTT,OTT,3589,3589,0,5,6
DAL,CHI,CHI,110,223,0,6,5
DAL,CHI,CHI,855,971.5,0,6,5
DAL,CHI,CHI,1223,1341.5,0,6,5
DAL,CHI,DAL,1543,1652.5,0,5,6
DAL,CHI,CHI,1803,1813,1,6,5
DAL,CHI,CHI,1803,1813,1,6,5
DAL,CHI,DAL,2246,2354,0,5,6
DAL,CHI,CHI,2354,2470,0,6,5
DAL,CHI,DAL,2543,2659.5,0,5,6
DAL,CHI,CHI,2687,2687,0,NA,NA
DAL,CHI,DAL,2687,2687,0,NA,NA
DAL,CHI,DAL,3063,3070,1,5,6
DAL,CHI,DAL,3485,3600,0,5,6
MIN,COL,MIN,111,227,0,5,6
MIN,COL,MIN,390,502,0,5,6
MIN,COL,COL,533,645,0,6,5
MIN,COL,COL,1616,1616,0,NA,NA
MIN,COL,MIN,1616,1616,0,NA,NA
MIN,COL,MIN,1745,1855.5,0,5,6
MIN,COL,COL,2335,2447.5,0,6,5
MIN,COL,COL,2912,2912,0,NA,NA
MIN,COL,MIN,2912,2912,0,NA,NA
MIN,COL,MIN,3307,3374.5,0,5,6
EDM,CGY,CGY,702,779,1,6,5
EDM,CGY,EDM,1364,1469,0,5,6
EDM,CGY,CGY,1814,1885,1,6,4
EDM,CGY,CGY,1834,1885,1,6,4
EDM,CGY,EDM,3504,3560,1,5,6
ARI,WPG,ARI,144,258,0,5,6
ARI,WPG,ARI,178,272,0,5,6
ARI,WPG,WPG,178,272,0,5,6
ARI,WPG,WPG,689,805,0,4,5
ARI,WPG,ARI,689,805,0,4,5
ARI,WPG,ARI,717,829.5,0,4,5
ARI,WPG,ARI,877,877,0,NA,NA
ARI,WPG,WPG,877,877,0,NA,NA
ARI,WPG,ARI,964,1061,0,5,6
ARI,WPG,WPG,964,1061,0,5,6
ARI,WPG,ARI,1020,1134,0,5,6
ARI,WPG,ARI,1273,1377,0,5,6
ARI,WPG,WPG,1377,1496,0,6,5
ARI,WPG,WPG,1800,1911.5,0,6,5
ARI,WPG,ARI,2182,2275,0,5,6
ARI,WPG,WPG,2606,2707,-1,6,5
CAR,NYI,NYI,111,229.5,0,6,5
CAR,NYI,CAR,936,1026,1,4,6
CAR,NYI,CAR,1013,1026,1,4,6
CAR,NYI,NYI,1291,1404,0,6,5
CAR,NYI,CAR,1602,1658,1,5,6
CAR,NYI,NYI,1832,1936,0,6,5
CAR,NYI,NYI,2400,2485,1,6,5
CAR,NYI,NYI,3441,3506,1,6,5
BOS,WSH,BOS,123,229,0,5,6
BOS,WSH,WSH,377,495.5,0,6,5
BOS,WSH,BOS,678,686,1,5,6
BOS,WSH,BOS,678,686,1,5,6
BOS,WSH,WSH,678,686,-1,5,6
BOS,WSH,WSH,1181,1300,0,6,5
BOS,WSH,WSH,1418,1418,0,NA,NA
BOS,WSH,BOS,1418,1418,0,NA,NA
BOS,WSH,BOS,1799,1834,1,5,6
BOS,WSH,WSH,2020,2131,0,6,5
BOS,WSH,WSH,2346,2458,0,6,5
BOS,WSH,BOS,3383,3495.5,0,5,6
BOS,WSH,BOS,3383,3495.5,0,5,6
TOR,PIT,TOR,450,464,1,5,6
TOR,PIT,PIT,687,800,0,6,5
TOR,PIT,TOR,999,1066,1,4,6
TOR,PIT,TOR,1022,1066,1,4,6
TOR,PIT,PIT,1156,1274,0,6,5
TOR,PIT,PIT,1308,1426.5,0,5,4
TOR,PIT,TOR,1308,1426.5,0,5,4
TOR,PIT,PIT,1350,1458,1,6,5
TOR,PIT,PIT,1646,1743,0,6,5
TOR,PIT,TOR,1743,1862,0,5,6
TOR,PIT,TOR,1975,2026,1,5,6
TOR,PIT,PIT,2934,3051,1,6,5
TOR,PIT,TOR,3567,3567,0,NA,NA
TOR,PIT,PIT,3567,3567,0,NA,NA
DET,ANA,DET,284,403,0,5,6
DET,ANA,ANA,650,767,0,6,5
DET,ANA,DET,1467,1551,0,5,6
DET,ANA,ANA,1948,2057.5,0,6,5
DET,ANA,ANA,2308,2425.5,0,4,5
DET,ANA,DET,2308,2425.5,0,4,5
DET,ANA,DET,2379,2486.5,0,4,5
T.B,OTT,T.B,508,621,0,5,6
T.B,OTT,OTT,922,942,1,6,5
T.B,OTT,T.B,1093,1208,0,5,6
T.B,OTT,OTT,1479,1575.5,0,6,5
T.B,OTT,OTT,2118,2118,0,NA,NA
T.B,OTT,T.B,2118,2118,0,NA,NA
